gender,start,end,participants,mean,error,5th,10th,15th,25th,50th,75th,85th,90th,95th
male,2,3,285,16.7,0.13,14.7,15.1,15.4,15.8,16.6,17.3,18.1,18.3,18.9
male,3,4,202,16.5,0.16,14.4,14.7,15.1,15.4,16.2,17.4,17.8,18.3,19.1
male,4,5,244,16.3,0.10,14.0,14.3,14.7,15.1,16.0,17.0,17.8,18.3,19.9
male,5,6,205,16.3,0.15,13.9,14.1,14.4,15.0,15.7,16.8,18.0,18.5,21.0
male,6,7,193,16.9,0.26,13.8,14.1,14.5,14.8,16.1,17.1,19.8,21.8,23.7
male,7,8,215,16.9,0.21,13.6,14.1,14.4,14.9,15.8,18.1,20.1,21.0,22.8
male,8,9,210,17.9,0.27,14.1,14.5,14.9,15.6,16.7,19.4,21.8,22.9,24.4
male,9,10,190,18.9,0.38,14.1,14.8,15.1,16.0,17.3,21.3,23.6,25.1,27.5
male,10,11,197,19.6,0.35,14.5,15.0,15.5,16.4,18.4,22.2,24.3,25.1,27.1
male,11,12,211,20.5,0.36,15.4,16.0,16.4,17.0,19.1,23.1,25.4,26.4,28.7
male,12,13,159,21.3,0.44,14.6,15.6,16.2,17.5,19.9,24.2,27.0,28.4,30.1
male,13,14,146,21.9,0.47,16.3,17.1,17.6,18.4,20.4,24.8,26.5,29.5,33.7
male,14,15,177,22.4,0.59,16.4,16.8,17.5,18.3,21.0,24.3,27.6,30.0,34.1
male,15,16,160,23.1,0.55,16.8,18.2,18.6,19.3,21.5,25.7,27.6,30.4,33.8
male,16,17,175,24.4,0.46,18.0,18.6,19.5,20.7,22.7,26.9,30.4,31.5,34.4
male,17,18,188,24.9,0.70,17.8,19.0,19.4,20.6,23.3,27.5,30.3,33.2,38.6
male,18,19,142,26.1,0.58,18.8,19.4,20.9,22.1,25.1,29.0,30.7,32.6,36.0
male,19,20,179,25.2,0.46,19.0,20.3,20.6,21.3,24.0,26.7,28.8,31.2,38.8
female,2,3,254,16.5,0.13,14.7,15.1,15.2,15.5,16.4,17.4,18.0,18.4,18.8
female,3,4,189,16.0,0.15,13.9,14.3,14.5,15.0,15.8,16.8,17.7,18.0,19.0
female,4,5,200,16.0,0.11,13.6,14.3,14.5,14.8,15.7,16.6,17.8,18.2,19.1
female,5,6,177,16.5,0.29,13.2,14.2,14.5,15.1,15.8,17.0,18.0,19.8,19.8
female,6,7,177,16.5,0.25,13.8,14.1,14.3,15.0,15.8,17.3,18.5,19.5,19.5
female,7,8,207,17.1,0.25,13.7,14.3,14.5,14.8,15.9,18.3,20.3,21.6,23.8
female,8,9,203,18.3,0.38,13.8,14.3,14.7,15.1,17.1,20.5,22.7,23.6,25.4
female,9,10,205,18.7,0.43,14.0,14.7,14.8,15.4,17.3,20.5,23.1,25.3,26.3
female,10,11,183,19.5,0.28,14.1,15.3,15.7,16.3,18.9,21.4,23.3,24.5,27.4
female,11,12,219,20.7,0.48,14.6,15.5,15.9,16.8,19.0,23.6,26.5,29.4,31.3
female,12,13,166,21.3,0.49,16.2,16.2,16.5,17.9,20.6,23.6,26.6,28.1,30.3
female,13,14,140,22.1,0.51,15.8,16.3,17.1,18.4,20.9,25.1,27.8,29.5,32.4
female,14,15,168,23.5,0.39,17.3,17.8,18.8,20.0,22.4,25.4,27.6,28.5,36.1
female,15,16,137,23.9,0.45,17.9,18.5,19.3,19.9,22.1,26.4,30.6,31.4,34.7
female,16,17,156,23.7,0.39,18.6,18.6,18.9,20.2,22.1,25.8,30.0,32.0,34.9
female,17,18,143,23.9,0.56,17.7,18.6,19.4,20.2,22.5,26.1,27.4,31.7,36.9
female,18,19,137,24.6,0.61,18.4,19.2,19.4,19.9,21.8,26.9,31.8,33.3,37.7
female,19,20,118,25.5,0.71,16.5,17.9,19.4,21.1,24.0,29.8,32.1,34.0,37.9
female,20,29,906,27.5,0.42,18.8,19.9,20.6,21.7,25.3,31.5,36.0,38.0,43.9
female,30,39,982,28.7,0.33,19.4,20.6,21.6,23.4,27.2,32.8,36.0,38.1,41.6
female,40,49,1056,28.6,0.28,19.3,20.6,21.7,23.3,27.3,32.4,36.2,38.1,43.0
female,50,59,873,29.3,0.27,19.7,21.3,22.1,24.0,28.3,33.5,36.4,39.3,41.8
female,60,69,950,29.6,0.25,20.7,21.6,23.0,24.8,28.8,33.5,36.6,38.5,41.1
female,70,79,677,29.5,0.26,20.1,21.6,22.7,24.7,28.6,33.4,36.3,38.7,42.1
female,80,120,397,26.7,0.26,19.3,20.7,22.0,23.1,26.3,29.7,31.6,32.5,35.2
male,20,29,894,26.8,0.24,19.4,20.7,21.4,22.9,25.6,29.9,32.3,33.8,36.5
male,30,39,948,29.0,0.22,21.0,22.4,23.3,24.9,28.1,32.0,34.1,36.2,40.5
male,40,49,933,29.0,0.29,21.2,22.9,24.0,25.4,28.2,31.7,34.4,36.1,39.6
male,50,59,934,29.2,0.31,21.5,22.9,23.9,25.5,28.2,32.0,34.5,37.1,39.9
male,60,69,930,29.5,0.25,21.3,22.7,23.8,25.3,28.8,32.5,34.7,37.0,40.0
male,70,79,643,28.8,0.26,21.4,22.9,23.8,25.6,28.3,31.3,33.5,35.4,37.8
male,80,120,353,27.2,0.22,20.7,21.8,22.8,24.4,27.0,29.6,31.3,32.7,34.5